,Summary,Price,Brand,Condition,Category,Site
173,"sold  sep 15, 2019reformation gisele top",34.99,Reformation,New,tops,eBay
174,"sold  sep 15, 2019reformation bermuda dress size l",38.00,Reformation,New,dresses,eBay
175,"sold  sep 15, 2019reformation tori dress size 12",42.00,Reformation,New,dresses,eBay
176,"sold  sep 15, 2019nwt reformation marci dress in blush pink flare bottom size small $118.00",98.00,Reformation,New,dresses,eBay
177,"sold  sep 15, 2019reformation stevie minidress in ansel size 0",60.00,Reformation,New,dresses,eBay
178,"sold  sep 15, 2019reformation 'barton' wool coat, camel, current season --  xs",299.99,Reformation,New,outerwear,eBay
179,"sold  sep 15, 2019nwt reformation marine jean white high rise wide cropped legs sz 25",89.99,Reformation,New,bottoms,eBay
180,"sold  sep 15, 2019reformation serengeti yellow linen midi dress w/ belt nwot size 8",69.00,Reformation,New,dresses,eBay
181,"sold  sep 15, 2019reformation body con stylish size 8 / xs stunning 80s dress vintage look",26.16,Reformation,New,dresses,eBay
182,"sold  sep 15, 2019reformation red & black velvet onyx dress",100.00,Reformation,New,dresses,eBay
183,"sold  sep 15, 2019brand new reformation alma midi dress leopard sz 2 nwt $218",140.00,Reformation,New,bras,eBay
184,"sold  sep 15, 2019reformation liza dress size 4 silk nwt",100.00,Reformation,New,dresses,eBay
185,"sold  sep 14, 2019nwt reformation black caressa dress small sold out fast",65.00,Reformation,New,dresses,eBay
186,"sold  sep 14, 2019nwt reformation nelly high neck mock top ribbed knit red fitted size xs",35.00,Reformation,New,tops,eBay
187,"sold  sep 14, 2019reformation daisy top size xs",47.00,Reformation,New,tops,eBay
188,"sold  sep 14, 2019reformation bardot tee top ribbed xs s nwt black ballet square neck",40.00,Reformation,New,tops,eBay
189,"sold  sep 14, 2019nwot reformation gwenyth wrap dress - s",249.00,Reformation,New,dresses,eBay
190,"sold  sep 14, 2019reformation nebraska linen dress size 6 nwt $218",105.50,Reformation,New,bras,eBay
191,"sold  sep 14, 2019nwot reformation daryn fletcher jacket small black blazer coat doen $300",128.00,Reformation,New,outerwear,eBay
192,"sold  sep 16, 2019$320 reformation women's roman midi black floral sun dress sleeveless size 12",45.47,Reformation,New,dresses,eBay
193,"sold  sep 16, 2019reformation florence skirt s small bnwt",51.08,Reformation,New,bottoms,eBay
194,"sold  sep 16, 2019reformation navy paisley mini wrap dress size xs nwt",49.82,Reformation,New,dresses,eBay
195,"sold  sep 16, 2019$78 reformation iris ribbed button down top size s small ",49.99,Reformation,New,tops,eBay
196,"sold  sep 16, 2019reformation lasker coat size medium",66.00,Reformation,New,outerwear,eBay
197,"sold  sep 16, 2019reformation lasker coat size medium",65.00,Reformation,New,outerwear,eBay
198,"sold  sep 16, 2019reformation blush wrap style midi dress size s, uk8-10 new",74.75,Reformation,New,dresses,eBay
199,"sold  sep 16, 2019nwot reformation white linen long dress side slit apron style size small",60.00,Reformation,New,dresses,eBay
200,"sold  sep 16, 2019new! reformation | clark striped ribbed tee shirt blue white long sleeve fitted",39.99,Reformation,New,tops,eBay
201,"sold  sep 16, 2019reformation henna wrap fringe dress black xs new",48.20,Reformation,New,dresses,eBay
202,"sold  sep 16, 2019new reformation sammi ribbed turtleneck mini dress lipstick red size small $148",58.98,Reformation,New,dresses,eBay
203,"sold  sep 15, 2019nwt new reformation crimini slipdress in size 10 ",75.00,Reformation,New,dresses,eBay
204,"sold  sep 15, 2019reformation zoe side slit midi skirt bebe size 6 sold out",140.00,Reformation,New,bottoms,eBay
205,"sold  sep 15, 2019new reformation lilah mini dress size small cap sleeve sheath keyhole 5248",79.99,Reformation,New,dresses,eBay
206,"sold  sep 15, 2019reformation kealy midi dress size 10 blue floral current nwt $218",115.00,Reformation,New,dresses,eBay
207,"sold  sep 15, 2019$200 reformation eileen stripe midi linen dress size 6",149.99,Reformation,New,dresses,eBay
208,"sold  sep 15, 2019reformation women’s bryce 29 ginger cut off relaxed jean shorts new nwt blue",59.99,Reformation,New,bottoms,eBay
209,"sold  sep 15, 2019reformation womens lexi lace up sleeveless square neck denim blouse blue size 4",32.00,Reformation,New,other,eBay
210,"sold  sep 15, 2019reformation black women's size 2 floral vanessa long sleeve dress, nwt!",149.99,Reformation,New,dresses,eBay
211,"sold  sep 15, 2019brand new reformation midi dress. blue. unworn with tags. uk- xs/ us- 0/ eu- 32",124.59,Reformation,New,bras,eBay
212,"sold  sep 15, 2019nwt reformation bridgette bodysuit small brandy melville faithfull",28.00,Reformation,New,bras,eBay
213,"sold  sep 15, 2019nwt reformation rose romper 6 jumpsuit linen christy dawn style",112.00,Reformation,New,jumpsuits,eBay
214,"sold  sep 15, 2019reformation britten dress",150.00,Reformation,New,dresses,eBay
215,"sold  sep 15, 2019reformation emmie lace trim linen camisole white m nwt $52",15.00,Reformation,New,other,eBay
216,"sold  sep 15, 2019reformation persimmon dress, size 4, red/white, perfect condition",54.00,Reformation,New,dresses,eBay
217,"sold  sep 15, 2019nwot reformation bruno dress 2 xs s as seen on lily aldridge and christy dawn",65.00,Reformation,New,dresses,eBay
218,"sold  sep 15, 2019stunning reformation 'heidi' floral midi dress bell sleeve 70s us 0/2 uk 4/6 xs",74.75,Reformation,New,dresses,eBay
219,"sold  sep 15, 2019nwt reformation lou dress small emerald green",89.00,Reformation,New,dresses,eBay
220,"sold  sep 15, 2019nwt reformation jeans black lou dress s",75.00,Reformation,New,bottoms,eBay
221,"sold  sep 15, 2019reformation gisele top",34.99,Reformation,New,tops,eBay
222,"sold  sep 15, 2019reformation bermuda dress size l",38.00,Reformation,New,dresses,eBay
223,"sold  sep 15, 2019reformation tori dress size 12",42.00,Reformation,New,dresses,eBay
224,"sold  sep 15, 2019nwt reformation marci dress in blush pink flare bottom size small $118.00",98.00,Reformation,New,dresses,eBay
225,"sold  sep 15, 2019reformation stevie minidress in ansel size 0",60.00,Reformation,New,dresses,eBay
